HOME	Episode Date	Episode Type	Episode Title	Episode Topic	Episode Topic	Section 1	Section 2	Section 3	Section 4	Conclusion	Status	Optimized Title	Optimized Description	Optimized Script	Optimized Tags
13	18/11/2024	Main Podcast	Surviving the Holidays: Managing CPTSD Stress	Surviving the Holidays with CPTSD	Discuss the stress of the holiday season	Triggers during holidays	How to protect yourself during this time	Provide examples of real - life triggers and how people manage them	Recommend further reading or therapy techniques	Encourage listeners to stay tuned for future episodes. Next up on Friday: Grounding Technique: Progressive Muscle Relaxation	PUBLISHED				
14	22/11/2024	Friday Healing	Progressive Muscle Relaxation: The Ultimate Grounding Tool	Grounding Technique: Progressive Muscle Relaxation	The benefits of progressive muscle relaxation	Explain the technique	Guide through a short session			Encourage listeners to practice and return next week. Next main episode: Self - Compassion in the Healing Journey	PUBLISHED				
15	25/11/2024	Main Podcast	Self Compassion for CPTSD: Why It's Essential	Self-Compassion in the Healing Journey	Self - compassion in healing	Why self - compassion is critical	Practical self - compassion exercises	Explain how to customize the 5 - 4 - 3 - 2 - 1 method for personal use	Provide a takeaway or challenge to practice the technique	Encourage listeners to stay tuned for future episodes. Next up on Friday: Holiday Preparation: Managing Stressful Family Dynamics	PUBLISHED				
16	01/12/2024	Friday Healing	Holiday Boundaries: Protecting Your Peace	Holiday Preparation: Managing Stressful Family Dynamics	Managing holiday stress	Why family gatherings can be stressful	Setting boundaries during the holidays			Encourage listeners to practice and return next week. Next main episode: Reframing Negative Thoughts	PUBLISHED				
17	02/12/2024	Main Podcast	Reframing Negative Thoughts: A Cognitive Therapy Guide	Reframing Negative Thoughts	Reframing negative thoughts	How CPTSD can lead to negative thought patterns	Cognitive reframing techniques	Discuss experiences of social anxiety and strategies for small improvements	Suggest new social activities for building confidence	Encourage listeners to stay tuned for future episodes. Next up on Friday: Setting Healing Goals for the New Year	PUBLISHED				
18	06/12/2024	Friday Healing	Setting Healing Goals for the New Year	Setting Healing Goals for the New Year	Setting recovery goals	Importance of small, achievable goals	How to track progress			Encourage listeners to practice and return next week. Next main episode: Grounding Technique: Mindful Eating	PUBLISHED				
19	09/12/2024	Main Podcast	Mindful Eating: A Simple Practice for Healing	Grounding Technique: Mindful Eating	Mindfulness in eating	How mindful eating can help with CPTSD	Practical steps to start eating mindfully	Share case studies or listener stories on using music as a grounding tool	Offer playlists or music recommendations for emotional regulation	Encourage listeners to stay tuned for future episodes. Next up on Friday: Understanding Flashbacks and How to Cope	PUBLISHED				
20	13/12/2024	Friday Healing	Flashbacks and Dissociation: How to Stay Grounded	Understanding Flashbacks and How to Cope	Flashbacks and dissociation	Why flashbacks happen	Techniques to stay grounded during flashbacks			Encourage listeners to practice and return next week. Next main episode: Nature - Based Grounding Techniques	PUBLISHED				
21	13/12/2024	Main Podcast	Understanding CPTSD: A Guide for the People Who Love Us								PUBLISHED				
22	16/12/2024	Main Podcast	Nature Therapy: Grounding Techniques in the Great Outdoors	Nature-Based Grounding Techniques	Nature as a grounding tool	Why spending time in nature helps trauma recovery	Practical ideas for incorporating nature into daily life	Dive into how trauma impacts self - identity and ways to reclaim it	Share reflection exercises or journaling prompts for self - identity	Encourage listeners to stay tuned for future episodes. Next up on Friday: 	PUBLISHED				
23	20/12/2024	Friday Healing	CPTSD: Understanding Flashbacks and How to Cope	Understanding Flashbacks and How to Cope	Introduction to Understanding Flashbacks and How to Cope	Detailed explanation of Understanding Flashbacks and How to Cope	Discuss real - life examples or listener stories about Understanding Flashbacks and How to Cope	Provide research, tools, or techniques for better management of Understanding Flashbacks and How to Cope	Suggest resources or next steps for continued growth regarding Understanding Flashbacks and How to Cope	Encourage listeners to stay tuned for future episodes. Next episode will be Guided Meditation for Emotional Stability	PUBLISHED				
24	23/12/2024	Main Podcast	Guided Meditation for Emotional Stability	Guided Meditation for Emotional Stability	Introduction to Guided Meditation for Emotional Stability	Detailed explanation of Guided Meditation for Emotional Stability	Discuss real - life examples or listener stories about Guided Meditation for Emotional Stability	Provide research, tools, or techniques for better management of Guided Meditation for Emotional Stability	Suggest resources or next steps for continued growth regarding Guided Meditation for Emotional Stability	Encourage listeners to stay tuned for future episodes. Next episode will be CPTSD and Relationships: How to Heal Together	PUBLISHED				
25	27/12/2024	Friday Healing	CPTSD and Relationships: How to Heal Together	CPTSD and Relationships: How to Heal Together	Introduction to CPTSD and Relationships: How to Heal Together	Detailed explanation of CPTSD and Relationships: How to Heal Together	Discuss real - life examples or listener stories about CPTSD and Relationships: How to Heal Together	Provide research, tools, or techniques for better management of CPTSD and Relationships: How to Heal Together	Suggest resources or next steps for continued growth regarding CPTSD and Relationships: How to Heal Together	Encourage listeners to stay tuned for future episodes. Next episode will be Breathwork Techniques for Staying Grounded in Stressful Times	PUBLISHED				
26	30/12/2024	Main Podcast	Breathwork Techniques for Staying Grounded in Stressful Times	Breathwork Techniques for Staying Grounded in Stressful Times	Introduction to Breathwork Techniques for Staying Grounded in Stressful Times	Detailed explanation of Breathwork Techniques for Staying Grounded in Stressful Times	Discuss real - life examples or listener stories about Breathwork Techniques for Staying Grounded in Stressful Times	Provide research, tools, or techniques for better management of Breathwork Techniques for Staying Grounded in Stressful Times	Suggest resources or next steps for continued growth regarding Breathwork Techniques for Staying Grounded in Stressful Times	Encourage listeners to stay tuned for future episodes. Next episode will be Rebuilding Trust After Trauma	PUBLISHED				
27	03/01/2025	Friday Healing	Body Scanning: Learning How to Identify Stress Points	Body Scanning for Identifying Stress Points	Introduction to Rebuilding Trust After Trauma	Detailed explanation of Rebuilding Trust After Trauma	Discuss real - life examples or listener stories about Rebuilding Trust After Trauma	Provide research, tools, or techniques for better management of Rebuilding Trust After Trauma	Suggest resources or next steps for continued growth regarding Rebuilding Trust After Trauma	Encourage listeners to stay tuned for future episodes. Next episode will be Body Scanning for Identifying Stress Points	PUBLISHED				
28	06/01/2025	SPECIAL EPISODE	CPTSD: Rebuilding Trust in Yourself	Rebuilding Trust After Trauma	Introduction to Body Scanning for Identifying Stress Points	Detailed explanation of Body Scanning for Identifying Stress Points	Discuss real - life examples or listener stories about Body Scanning for Identifying Stress Points	Provide research, tools, or techniques for better management of Body Scanning for Identifying Stress Points	Suggest resources or next steps for continued growth regarding Body Scanning for Identifying Stress Points	Encourage listeners to stay tuned for future episodes. Next episode will be The Neuroscience of CPTSD: Trauma and the Brain	PUBLISHED				
29	10/01/2025	SPECIAL EPISODE	The Neuroscience of CPTSD: What Happens in Your Brain?	The Neuroscience of CPTSD: Trauma and the Brain	Introduction to The Neuroscience of CPTSD: Trauma and the Brain	Detailed explanation of The Neuroscience of CPTSD: Trauma and the Brain	Discuss real - life examples or listener stories about The Neuroscience of CPTSD: Trauma and the Brain	Provide research, tools, or techniques for better management of The Neuroscience of CPTSD: Trauma and the Brain	Suggest resources or next steps for continued growth regarding The Neuroscience of CPTSD: Trauma and the Brain	Encourage listeners to stay tuned for future episodes. Next episode will be Revisiting the 5 - 4 - 3 - 2 - 1 Grounding Technique	PUBLISHED				
30	13/01/2025	SPECIAL EPISODE	Grounding in Real Life: 5 4 3 2 1 Method Revisited	Revisiting the 5-4-3-2-1 Grounding Technique	Introduction to Revisiting the 5 - 4 - 3 - 2 - 1 Grounding Technique	Detailed explanation of Revisiting the 5 - 4 - 3 - 2 - 1 Grounding Technique	Discuss real - life examples or listener stories about Revisiting the 5 - 4 - 3 - 2 - 1 Grounding Technique	Provide research, tools, or techniques for better management of Revisiting the 5 - 4 - 3 - 2 - 1 Grounding Technique	Suggest resources or next steps for continued growth regarding Revisiting the 5 - 4 - 3 - 2 - 1 Grounding Technique	Encourage listeners to stay tuned for future episodes. Next episode will be Managing Work and CPTSD	PUBLISHED				
31	17/01/2025	SPECIAL EPISODE	CPTSD and Work: Managing Productivity After Trauma	Managing Work and CPTSD	Introduction to Managing Work and CPTSD	Detailed explanation of Managing Work and CPTSD	Discuss real - life examples or listener stories about Managing Work and CPTSD	Provide research, tools, or techniques for better management of Managing Work and CPTSD	Suggest resources or next steps for continued growth regarding Managing Work and CPTSD	Encourage listeners to stay tuned for future episodes. Next episode will be Sound Healing and Emotional Regulation	PUBLISHED				
32	20/01/2025	SPECIAL EPISODE	Sound Healing: Using Frequencies for Emotional Regulation	Sound Healing and Emotional Regulation	Introduction to Sound Healing and Emotional Regulation	Detailed explanation of Sound Healing and Emotional Regulation	Discuss real - life examples or listener stories about Sound Healing and Emotional Regulation	Provide research, tools, or techniques for better management of Sound Healing and Emotional Regulation	Suggest resources or next steps for continued growth regarding Sound Healing and Emotional Regulation	Encourage listeners to stay tuned for future episodes. 	PUBLISHED				
33	24/01/2025	SPECIAL EPISODE	Identity Crisis: How CPTSD Affects Self Perception	Identity Crisis: CPTSD and Self-Perception	Introduction to Identity Crisis: CPTSD and Self - Perception	Detailed explanation of Identity Crisis: CPTSD and Self - Perception	Discuss real - life examples or listener stories about Identity Crisis: CPTSD and Self - Perception	Provide research, tools, or techniques for better management of Identity Crisis: CPTSD and Self - Perception	Suggest resources or next steps for continued growth regarding Identity Crisis: CPTSD and Self - Perception	Encourage listeners to stay tuned for future episodes. 	PUBLISHED				
34	27/01/2025	SPECIAL EPISODE	Visualization for Healing: Create Your Safe Space	Visualization Techniques for Emotional Healing	Introduction to Visualization Techniques for Emotional Healing	Detailed explanation of Visualization Techniques for Emotional Healing	Discuss real - life examples or listener stories about Visualization Techniques for Emotional Healing	Provide research, tools, or techniques for better management of Visualization Techniques for Emotional Healing	Suggest resources or next steps for continued growth regarding Visualization Techniques for Emotional Healing	Encourage listeners to stay tuned for future episodes. 	PUBLISHED				
35	31/01/2025	SPECIAL EPISODE	Surviving Family Gatherings: Tips for CPTSD	Family Gatherings and CPTSD Survival Tips	Introduction to Family Gatherings and CPTSD Survival Tips	Detailed explanation of Family Gatherings and CPTSD Survival Tips	Discuss real - life examples or listener stories about Family Gatherings and CPTSD Survival Tips	Provide research, tools, or techniques for better management of Family Gatherings and CPTSD Survival Tips	Suggest resources or next steps for continued growth regarding Family Gatherings and CPTSD Survival Tips	Encourage listeners to stay tuned for future episodes. 	PUBLISHED				
36	03/02/2025	Main Podcast	Progressive Muscle Relaxation: Releasing Trauma from the Body	Progressive Muscle Relaxation for Trauma Recovery	Introduction to Progressive Muscle Relaxation for Trauma Recovery	Detailed explanation of Progressive Muscle Relaxation for Trauma Recovery	Discuss real - life examples or listener stories about Progressive Muscle Relaxation for Trauma Recovery	Provide research, tools, or techniques for better management of Progressive Muscle Relaxation for Trauma Recovery	Suggest resources or next steps for continued growth regarding Progressive Muscle Relaxation for Trauma Recovery	Encourage listeners to stay tuned for future episodes. 	PUBLISHED				
37	07/02/2025	Friday Healing	Healing and Self Compassion: Your Recovery Toolkit	CPTSD and the Power of Self-Compassion	Introduction to CPTSD and the Power of Self - Compassion	Detailed explanation of CPTSD and the Power of Self - Compassion	Discuss real - life examples or listener stories about CPTSD and the Power of Self - Compassion	Provide research, tools, or techniques for better management of CPTSD and the Power of Self - Compassion	Suggest resources or next steps for continued growth regarding CPTSD and the Power of Self - Compassion	Encourage listeners to stay tuned for future episodes. 	PUBLISHED				
38	08/02/2025	Main Podcast	Setting Boundaries: A Guide	Setting Boundaries 	Introduction to Setting Boundaries	Detailed explanation of Setting Boundaries and the science and research	Discuss real - life examples about Setting Boundaries 	Provide research, tools, or techniques for better management of Setting Boundaries 	Suggest resources or next steps for continued growth regarding Setting Boundaries	Encourage listeners to stay tuned for future episodes. 	PUBLISHED				
39	14/02/2025	Friday Healing	Transforming Negative Thoughts: Techniques for Daily Use	Cognitive Therapy for Reframing Negative Thoughts	Introduction to Cognitive Therapy for Reframing Negative Thoughts	Detailed explanation of Cognitive Therapy for Reframing Negative Thoughts	Discuss real - life examples or listener stories about Cognitive Therapy for Reframing Negative Thoughts	Provide research, tools, or techniques for better management of Cognitive Therapy for Reframing Negative Thoughts	Suggest resources or next steps for continued growth regarding Cognitive Therapy for Reframing Negative Thoughts	Encourage listeners to stay tuned for future episodes. 	PUBLISHED				
40	17/02/2025	Main Podcast	Starting Fresh: CPTSD Recovery Goals for the New Year	New Year Recovery Goals for CPTSD	Introduction to New Year Recovery Goals for CPTSD	Detailed explanation of New Year Recovery Goals for CPTSD	Discuss real - life examples or listener stories about New Year Recovery Goals for CPTSD	Provide research, tools, or techniques for better management of New Year Recovery Goals for CPTSD	Suggest resources or next steps for continued growth regarding New Year Recovery Goals for CPTSD	Encourage listeners to stay tuned for future episodes. 	PUBLISHED				
41	21/02/2025	Friday Healing	Mindfulness Eating: Practicing Healing Through Food	Mindful Eating for Emotional Balance	Introduction to Mindful Eating for Emotional Balance	Detailed explanation of Mindful Eating for Emotional Balance	Discuss real - life examples or listener stories about Mindful Eating for Emotional Balance	Provide research, tools, or techniques for better management of Mindful Eating for Emotional Balance	Suggest resources or next steps for continued growth regarding Mindful Eating for Emotional Balance	Encourage listeners to stay tuned for future episodes. Next episode will be Staying Grounded During Flashbacks	PUBLISHED				
42	24/02/2025	Main Podcast	Staying Grounded in Flashbacks: Essential Tools	Staying Grounded During Flashbacks	Introduction to Staying Grounded During Flashbacks	Detailed explanation of Staying Grounded During Flashbacks	Discuss real - life examples or listener stories about Staying Grounded During Flashbacks	Provide research, tools, or techniques for better management of Staying Grounded During Flashbacks	Suggest resources or next steps for continued growth regarding Staying Grounded During Flashbacks	Encourage listeners to stay tuned for future episodes. Next episode will be Healing Through Nature and Outdoor Therapy	PUBLISHED				
43	28/02/2025	Friday Healing	Finding Solace in Nature: The Healing Power of the Outdoors	Healing Through Nature and Outdoor Therapy	Introduction to Healing Through Nature and Outdoor Therapy	Detailed explanation of Healing Through Nature and Outdoor Therapy	Discuss real - life examples or listener stories about Healing Through Nature and Outdoor Therapy	Provide research, tools, or techniques for better management of Healing Through Nature and Outdoor Therapy	Suggest resources or next steps for continued growth regarding Healing Through Nature and Outdoor Therapy	Encourage listeners to stay tuned for future episodes. Next episode will be Understanding Flashbacks and How to Cope	PUBLISHED				
44	03/03/2025	Main Podcast	The Future of AI in Mental Health: Hope or Hype?	How to Use AI to heal and recover						Encourage listeners to stay tuned for future episodes. Next up on Friday: 	PUBLISHED				
45	07/03/2025	Friday Healing	Reclaiming Rest: Overcoming Nightmares and Finding Peaceful Sleep	Overcoming Nightmares: Tools for Peaceful Sleep	Introduction to Overcoming Nightmares: Tools for Peaceful Sleep	Detailed explanation of Overcoming Nightmares: Tools for Peaceful Sleep	Discuss real - life examples or listener stories about Overcoming Nightmares: Tools for Peaceful Sleep	Provide research, tools, or techniques for better management of Overcoming Nightmares: Tools for Peaceful Sleep	Suggest resources or next steps for continued growth regarding Overcoming Nightmares: Tools for Peaceful Sleep	Encourage listeners to stay tuned for future episodes. Next episode will be Surviving Family Gatherings with CPTSD	PUBLISHED				
46	10/03/2025	Main Podcast	CPTSD: Handling Emotional Numbness	Handling Emotional Numbness	Introduction to Handling Emotional Numbness	Detailed explanation of Handling Emotional Numbness	Discuss real - life examples or listener stories about Handling Emotional Numbness	Provide research, tools, or techniques for better management of Handling Emotional Numbness	Suggest resources or next steps for continued growth regarding Handling Emotional Numbness	Encourage listeners to stay tuned for future episodes. Next episode will be Understanding Physical Sensations in CPTSD	PUBLISHED				
47	14/03/2025	Friday Healing	Healing Relationships: How CPTSD Affects Communication and Practical Tools to Connect	Relating to Loved Ones: CPTSD and Communication	Introduction to Relating to Loved Ones: CPTSD and Communication	Detailed explanation of Relating to Loved Ones: CPTSD and Communication	Discuss real - life examples or listener stories about Relating to Loved Ones: CPTSD and Communication	Provide research, tools, or techniques for better management of Relating to Loved Ones: CPTSD and Communication	Suggest resources or next steps for continued growth regarding Relating to Loved Ones: CPTSD and Communication	Encourage listeners to stay tuned for future episodes. Next episode will be Daily Stress Relief with Progressive Relaxation	PUBLISHED				
48	17/03/2025	Main Podcast	Guided Breathing for Night Time Anxiety	Guided Breathing for Night-Time Anxiety	Introduction to Guided Breathing for Night - Time Anxiety	Detailed explanation of Guided Breathing for Night - Time Anxiety	Discuss real - life examples or listener stories about Guided Breathing for Night - Time Anxiety	Provide research, tools, or techniques for better management of Guided Breathing for Night - Time Anxiety	Suggest resources or next steps for continued growth regarding Guided Breathing for Night - Time Anxiety	Encourage listeners to stay tuned for future episodes. Next episode will be Healing the Nervous System with Vagus Nerve Techniques	PUBLISHED				
49	21/03/2025	Friday Healing	CPTSD and Self Doubt: Overcoming the Inner Critic	Overcoming Self-Doubt: Strategies for CPTSD	Introduction to Overcoming Self - Doubt: Strategies for CPTSD	Detailed explanation of Overcoming Self - Doubt: Strategies for CPTSD	Discuss real - life examples or listener stories about Overcoming Self - Doubt: Strategies for CPTSD	Provide research, tools, or techniques for better management of Overcoming Self - Doubt: Strategies for CPTSD	Suggest resources or next steps for continued growth regarding Overcoming Self - Doubt: Strategies for CPTSD	Encourage listeners to stay tuned for future episodes. Next episode will be Changing Thought Patterns with Cognitive Behavioral Therapy	PUBLISHED				
50	24/03/2025	Main Podcast	Healing Through Art: Creative Expression as Therapy	Creative Expression in Healing from CPTSD	Introduction to Creative Expression in Healing from CPTSD	Detailed explanation of Creative Expression in Healing from CPTSD	Discuss real - life examples or listener stories about Creative Expression in Healing from CPTSD	Provide research, tools, or techniques for better management of Creative Expression in Healing from CPTSD	Suggest resources or next steps for continued growth regarding Creative Expression in Healing from CPTSD	Encourage listeners to stay tuned for future episodes. Next episode will be Understanding Non - Linear Recovery in CPTSD	PUBLISHED				
51	28/03/2025	Friday Healing	How to Manage CPTSD Triggers in Public Without Panic	Managing Triggers in Public Spaces	Introduction to Managing Triggers in Public Spaces	Detailed explanation of Managing Triggers in Public Spaces	Discuss real - life examples or listener stories about Managing Triggers in Public Spaces	Provide research, tools, or techniques for better management of Managing Triggers in Public Spaces	Suggest resources or next steps for continued growth regarding Managing Triggers in Public Spaces	Encourage listeners to stay tuned for future episodes. Next episode will be Building a Morning Routine for CPTSD	PUBLISHED				
52	31/03/2025	Main Podcast	Deep Breathing for Long Term Anxiety Relief	Long-Term Breathing Techniques for Anxiety Relief	Introduction to Long - Term Breathing Techniques for Anxiety Relief	Detailed explanation of Long - Term Breathing Techniques for Anxiety Relief	Discuss real - life examples or listener stories about Long - Term Breathing Techniques for Anxiety Relief	Provide research, tools, or techniques for better management of Long - Term Breathing Techniques for Anxiety Relief	Suggest resources or next steps for continued growth regarding Long - Term Breathing Techniques for Anxiety Relief	Encourage listeners to stay tuned for future episodes. Next episode will be The Role of Nutrition in Healing Trauma	PUBLISHED				
53	04/04/2025	Friday Healing	From Shame to Self Compassion: Rethinking Progress in Complex Trauma Recovery	Setting Realistic Expectations in CPTSD Recovery	Introduction to Setting Realistic Expectations in CPTSD Recovery	Detailed explanation of Setting Realistic Expectations in CPTSD Recovery	Discuss real - life examples or listener stories about Setting Realistic Expectations in CPTSD Recovery	Provide research, tools, or techniques for better management of Setting Realistic Expectations in CPTSD Recovery	Suggest resources or next steps for continued growth regarding Setting Realistic Expectations in CPTSD Recovery	Encourage listeners to stay tuned for future episodes. Next episode will be Using Mindfulness to Manage CPTSD Symptoms	PUBLISHED				
54	07/04/2025	Main Podcast	The Power of Journaling in Trauma Recovery	Journaling as a Healing Tool for CPTSD	Introduction to Journaling as a Healing Tool for CPTSD	Detailed explanation of Journaling as a Healing Tool for CPTSD	Discuss real - life examples or listener stories about Journaling as a Healing Tool for CPTSD	Provide research, tools, or techniques for better management of Journaling as a Healing Tool for CPTSD	Suggest resources or next steps for continued growth regarding Journaling as a Healing Tool for CPTSD	Encourage listeners to stay tuned for future episodes. Next episode will be Healing Through Social Connections and Support	PUBLISHED				
55	11/04/2025	Friday Healing	Creating a Safe Home Environment for Healing	Creating Safe Spaces at Home for Trauma Recovery	Introduction to Creating Safe Spaces at Home for Trauma Recovery	Detailed explanation of Creating Safe Spaces at Home for Trauma Recovery	Discuss real - life examples or listener stories about Creating Safe Spaces at Home for Trauma Recovery	Provide research, tools, or techniques for better management of Creating Safe Spaces at Home for Trauma Recovery	Suggest resources or next steps for continued growth regarding Creating Safe Spaces at Home for Trauma Recovery	Encourage listeners to stay tuned for future episodes. Next episode will be Using Breathing Techniques for Panic Attacks	PUBLISHED				
56	14/04/2025	Main Podcast	Visualization to Calm Panic Attacks	Using Visualization to Calm Panic Attacks	Introduction to Using Visualization to Calm Panic Attacks	Detailed explanation of Using Visualization to Calm Panic Attacks	Discuss real - life examples or listener stories about Using Visualization to Calm Panic Attacks	Provide research, tools, or techniques for better management of Using Visualization to Calm Panic Attacks	Suggest resources or next steps for continued growth regarding Using Visualization to Calm Panic Attacks	Encourage listeners to stay tuned for future episodes. Next episode will be Establishing a Night Routine for Better Sleep	PUBLISHED				
57	15/12/2025	Friday Healing	Holiday Anxiety: Tips for Surviving Family Gatherings	Surviving Family Gatherings with CPTSD	Introduction to Surviving Family Gatherings with CPTSD	Detailed explanation of Surviving Family Gatherings with CPTSD	Discuss real - life examples or listener stories about Surviving Family Gatherings with CPTSD	Provide research, tools, or techniques for better management of Surviving Family Gatherings with CPTSD	Suggest resources or next steps for continued growth regarding Surviving Family Gatherings with CPTSD	Encourage listeners to stay tuned for future episodes. Next episode will be Long - Term Grounding Techniques for CPTSD Recovery	PUBLISHED				
58	21/04/2025	Main Podcast	Understanding Body Memory: CPTSD and Physical Sensations	Understanding Physical Sensations in CPTSD	Introduction to Understanding Physical Sensations in CPTSD	Detailed explanation of Understanding Physical Sensations in CPTSD	Discuss real - life examples or listener stories about Understanding Physical Sensations in CPTSD	Provide research, tools, or techniques for better management of Understanding Physical Sensations in CPTSD	Suggest resources or next steps for continued growth regarding Understanding Physical Sensations in CPTSD	Encourage listeners to stay tuned for future episodes. Next episode will be Reducing Hypervigilance in Trauma Recovery	PUBLISHED				
59	25/04/2025	Friday Healing	Guided Progressive Muscle Relaxation for Stress Relief & Inner Calm	Daily Stress Relief with Progressive Relaxation	Introduction to Daily Stress Relief with Progressive Relaxation	Detailed explanation of Daily Stress Relief with Progressive Relaxation	Discuss real - life examples or listener stories about Daily Stress Relief with Progressive Relaxation	Provide research, tools, or techniques for better management of Daily Stress Relief with Progressive Relaxation	Suggest resources or next steps for continued growth regarding Daily Stress Relief with Progressive Relaxation	Encourage listeners to stay tuned for future episodes. Next episode will be Understanding Triggers in Trauma Recovery	PUBLISHED				
60	28/04/2025	Main Podcast	Healing the Nervous System: Vagus Nerve Techniques	Healing the Nervous System with Vagus Nerve Techniques	Introduction to Healing the Nervous System with Vagus Nerve Techniques	Detailed explanation of Healing the Nervous System with Vagus Nerve Techniques	Discuss real - life examples or listener stories about Healing the Nervous System with Vagus Nerve Techniques	Provide research, tools, or techniques for better management of Healing the Nervous System with Vagus Nerve Techniques	Suggest resources or next steps for continued growth regarding Healing the Nervous System with Vagus Nerve Techniques	Encourage listeners to stay tuned for future episodes. Next episode will be Developing Emotional Resilience with CPTSD	PUBLISHED				
